index,word,answers,validWords
0,she,he|she|,he|she|
4,but,but|tub|,but|tub|
7,opt,to|opt|pot|top|,to|opt|pot|top|
8,arm,arm|ram|mar|,arm|ram|mar|
9,ash,as|ash|has|,as|ah|ha|sh|ash|has|
11,pat,at|pat|apt|tap|,at|pat|apt|tap|
12,that,at|hat|tat|that|,at|ha|ah|hat|tat|that|
13,with,it|hi|wit|hit|with|whit|,it|hi|wit|hit|with|whit|
14,they,he|the|yet|hey|they|,he|eh|the|thy|yet|hey|they|
15,from,of|or|for|from|form|,of|or|for|from|form|
16,what,at|hat|what|thaw|,ha|ah|at|haw|hat|what|thaw|
17,know,no|on|wok|now|own|won|know|wonk|,ok|no|on|ow|wok|now|own|won|know|wonk|
18,time,it|me|tie|met|time|item|mite|emit|,it|me|tie|met|time|item|mite|emit|
19,year,yea|rye|ray|ear|era|are|year|,yea|aye|rye|ray|ear|era|are|year|
20,when,we|he|hew|new|hen|when|,we|he|eh|hew|new|hen|when|
21,take,at|tea|ate|eat|take|teak|,at|tea|ate|eat|take|teak|
22,hear,her|ear|era|are|hear|hare|,eh|ha|ah|her|ear|era|are|hear|hare|
23,play,pal|lap|ply|pay|yap|lay|play|,pal|lap|ply|pay|yap|lay|play|
24,live,lie|vie|live|vile|veil|evil|,lie|vie|live|vile|veil|evil|
25,must,us|sum|tum|must|smut|,um|us|sum|tum|must|smut|
26,fact,at|fat|aft|act|cat|fact|,at|fat|aft|act|cat|fact|
27,word,ow|or|do|row|rod|word|,ow|or|do|row|rod|word|
28,kind,in|kin|ink|kid|din|kind|,in|kin|ink|kid|din|kind|
29,long,on|no|go|log|long|,on|no|go|log|long|
30,into,in|it|no|on|to|nit|tin|ion|not|ton|into|,in|it|no|on|to|nit|tin|ion|not|ton|into|
31,your,or|you|our|your|,or|you|our|your|
32,than,at|an|hat|tan|ant|than|,at|ha|ah|an|hat|tan|ant|than|
33,like,ilk|lie|lei|like|,ilk|lie|lei|elk|like|
34,then,he|the|ten|net|hen|then|,he|eh|the|ten|net|hen|then|
